,movieTitle,englishName,rating,pttPopularity,pttGood,pttBad
327,最後一次自由,Desierto,5.8,3,0,0
328,NY單身日記,Maggie's Plan,6.3,9,3,0
329,性愛巴弒,Deeper,0,1,0,0
330,超自然研究會,Haunted Campus,NA,2,0,0
331,遊戲王:次元的黑暗面,Yu-Gi-Oh!: The Dark Side of Dimensions,8.3,1,0,0
332,時空叛逃者,Time Renegades,0,6,2,0
333,大藝術家與我,Me and Kaminski,6.9,1,0,0
334,天才柏金斯,Genius,6.6,9,4,0
335,甜蜜的哀傷,Bitter Honey,6,1,1,0
336,植物圖鑑,Evergreen Love,0,2,0,2
337,送子鳥,Storks,7,13,5,0
338,會計師,The Accountant,7.6,134,44,14
339,神隱任務2,Jack Reacher 2: Never Go Back,0,15,1,8
340,奇異博士,Doctor Strange,7.9,274,68,20
341,怒火地平線,Deepwater Horizon,7.5,39,11,0
342,地獄,Inferno,6.3,126,35,20
343,碟仙2,Ouija 2,0,1,0,0
344,獵愛大臨演,The Together Project,0,0,0,0
345,湄公河行動,Operation Mekong,7,11,1,6
346,時尚帝國合約的開始,The Model,5.8,2,0,0
347,起源:首爾車站,Seoul Station,6,1,0,0
348,鬼才要畢業,Midnight at University,0,4,0,0
349,為妳說的謊,The Light Between Oceans,7.2,14,6,4
350,巴黎走音天后,Marguerite,7,14,5,0
351,你的名字,Your Name,8.9,633,198,62
352,愛是一隻貓,Tomcat,5.3,3,1,0
353,絕地7騎士,The Magnificent Seven,7.8,19,5,0
354,神廚東京壯遊記,Ants On a Shrimp,0,6,4,0
355,鬼開門,The Disappointments Room,4.1,4,0,2
356,幸運是我,Happiness,7.8,5,1,0
357,列車上的女孩,The Girl on the Train,6.7,14,3,0
358,完美陌生人,Perfect Strangers,7.7,22,14,0
359,德布西森林,Foret Debussy,7.3,14,3,4
360,我的型男老闆,Do You See Me?,6.5,8,1,0
361,重返心原點,The Hollars,6.4,6,1,0
362,怒,Rage,5,180,33,10
363,美國心風暴,American Pastoral,6.2,5,1,0
364,已經很想妳,Miss You Already,6.7,4,3,0
365,笨賊樂盜家,Masterminds,5.7,3,0,0
